id	obs	chi	immut	mtype	ftype
institutional_validation_reading	analytical	0.33726627760339284	mountain	naturalized	rope
institutional_verification_collapse	powerless	0.333403938822024	mountain	naturalized	naturalized
institutional_verification_collapse	moderate	0.33699475506580545	rope	naturalized	naturalized
institutional_verification_collapse	institutional	0.32773237573844677	rope	naturalized	naturalized
institutional_verification_collapse	analytical	0.33726627760339284	mountain	naturalized	naturalized
interactionist_reading	powerless	0.20949999532579738	mountain	scaffold	scaffold
interactionist_reading	moderate	0.20767422316304487	rope	scaffold	scaffold
interactionist_reading	institutional	0.20242293795609945	rope	scaffold	scaffold
interactionist_reading	analytical	0.20831152440209555	mountain	scaffold	scaffold
intervention_target_selection	powerless	0.333403938822024	mountain	naturalized	rope
intervention_target_selection	moderate	0.33699475506580545	rope	naturalized	rope
intervention_target_selection	institutional	0.32773237573844677	rope	naturalized	rope
intervention_target_selection	analytical	0.33726627760339284	mountain	naturalized	rope
jewish_self_determination__indigenous_return_reading	powerless	0.3890714198907666	mountain	scaffold	scaffold
jewish_self_determination__indigenous_return_reading	moderate	0.3856807001599405	rope	scaffold	scaffold
jewish_self_determination__indigenous_return_reading	institutional	0.37592831334704185	rope	scaffold	scaffold
jewish_self_determination__indigenous_return_reading	analytical	0.38686425960389176	mountain	scaffold	scaffold
jewish_sovereignty_palestine__cultural_zionist_reading	powerless	0.0747638689884884	mountain	scaffold	scaffold
jewish_sovereignty_palestine__cultural_zionist_reading	moderate	0.07433707832333943	rope	scaffold	scaffold
jewish_sovereignty_palestine__cultural_zionist_reading	institutional	0.07229390641289266	rope	scaffold	scaffold
jewish_sovereignty_palestine__cultural_zionist_reading	analytical	0.0743969730007484	mountain	scaffold	scaffold
jewish_sovereignty_palestine__settler_colonial_reading	powerless	0.44858321393093037	mountain	tangled_rope	rope
jewish_sovereignty_palestine__settler_colonial_reading	moderate	0.44602246994003664	rope	tangled_rope	rope
jewish_sovereignty_palestine__settler_colonial_reading	institutional	0.433763438477356	rope	tangled_rope	rope
jewish_sovereignty_palestine__settler_colonial_reading	analytical	0.4463818380044905	mountain	tangled_rope	rope
jewish_territorial_claim__labor_zionism_reading	powerless	0.4236619242681009	mountain	tangled_rope	tangled_rope
jewish_territorial_claim__labor_zionism_reading	moderate	0.42124344383225676	rope	tangled_rope	tangled_rope
jewish_territorial_claim__labor_zionism_reading	institutional	0.4096654696730584	rope	tangled_rope	tangled_rope
jewish_territorial_claim__labor_zionism_reading	analytical	0.421582847004241	mountain	tangled_rope	tangled_rope
john_1_1_logos__non_incarnational_monotheist	powerless	0.333403938822024	mountain	naturalized	naturalized
john_1_1_logos__non_incarnational_monotheist	moderate	0.33699475506580545	rope	naturalized	naturalized
john_1_1_logos__non_incarnational_monotheist	institutional	0.3385937538601678	rope	naturalized	naturalized
john_1_1_logos__non_incarnational_monotheist	analytical	0.33726627760339284	mountain	naturalized	naturalized
knowledge_legitimacy_biomedicine_contradictions	powerless	unknown	mountain	unknown	unknown
knowledge_legitimacy_biomedicine_contradictions	moderate	unknown	rope	unknown	unknown
knowledge_legitimacy_biomedicine_contradictions	institutional	unknown	rope	unknown	unknown
knowledge_legitimacy_biomedicine_contradictions	analytical	unknown	mountain	unknown	unknown
knowledge_legitimacy_biomedicine_flat_control	powerless	0.333403938822024	mountain	naturalized	rope
knowledge_legitimacy_biomedicine_flat_control	moderate	0.33699475506580545	rope	naturalized	rope
knowledge_legitimacy_biomedicine_flat_control	institutional	0.32773237573844677	rope	naturalized	rope
knowledge_legitimacy_biomedicine_flat_control	analytical	0.33726627760339284	mountain	naturalized	rope
lausanne_minority_protections__guarantor_reading	powerless	0.10837997463803885	mountain	scaffold	scaffold
lausanne_minority_protections__guarantor_reading	moderate	0.10878173594254732	rope	scaffold	scaffold
lausanne_minority_protections__guarantor_reading	institutional	0.10603106273890923	rope	scaffold	scaffold
lausanne_minority_protections__guarantor_reading	analytical	0.10911556040109767	mountain	scaffold	scaffold
learning_difficulty_substrate_contradictions	powerless	unknown	mountain	unknown	unknown
learning_difficulty_substrate_contradictions	moderate	unknown	rope	unknown	unknown
learning_difficulty_substrate_contradictions	institutional	unknown	rope	unknown	unknown
learning_difficulty_substrate_contradictions	analytical	unknown	mountain	unknown	unknown
learning_difficulty_substrate_flat_control	powerless	0.33892953941448073	mountain	naturalized	rope
learning_difficulty_substrate_flat_control	moderate	0.33699475506580545	rope	naturalized	rope
learning_difficulty_substrate_flat_control	institutional	0.32773237573844677	rope	naturalized	rope
learning_difficulty_substrate_flat_control	analytical	0.33726627760339284	mountain	naturalized	rope
livelihood_security_reading	powerless	0.2093388331677675	mountain	unknown	unknown
livelihood_security_reading	moderate	0.20814381930535042	rope	rope	rope
livelihood_security_reading	institutional	0.20242293795609945	rope	rope	rope
livelihood_security_reading	analytical	0.20831152440209555	mountain	rope	rope
llm_synthesis_capacity	powerless	0.0897857122824846	mountain	scaffold	scaffold
llm_synthesis_capacity	moderate	0.0890032384984478	rope	scaffold	scaffold
llm_synthesis_capacity	institutional	0.08675268769547119	rope	scaffold	scaffold
llm_synthesis_capacity	analytical	0.08927636760089809	mountain	scaffold	scaffold
longevity_mismatch	powerless	0.05981109519079072	mountain	scaffold	rope
longevity_mismatch	moderate	0.05946966265867155	rope	scaffold	rope
longevity_mismatch	institutional	0.05783512513031413	rope	scaffold	rope
longevity_mismatch	analytical	0.05951757840059873	mountain	scaffold	rope
lycurgan_laws__demographic_trap_reading	powerless	0.4020459262265583	mountain	tangled_rope	tangled_rope
