accountability_machinery__euthynai_audit	six(shift(unknown,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[],actors(distributed,distributed),drift(rising,unknown,rising),zone(negligible,extreme))
citizenship_clause__birthright_territorial_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,unknown),zone(low,extreme))
citizenship_clause__wong_kim_ark_settlement_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,extreme))
civil_rights_era_amendments__twenty_fifth_amendment	six(shift(unknown,tangled_rope,tangled_rope,unknown),[asymmetric,coordination,enforcement,has_beneficiaries],[],actors(distributed,distributed),drift(falling,unknown,rising),zone(low,moderate))
civil_rights_era_amendments__twenty_fourth_amendment	six(shift(unknown,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[],actors(distributed,concentrated),drift(falling,unknown,rising),zone(negligible,high))
civil_rights_era_amendments__twenty_sixth_amendment	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(concentrated,concentrated),drift(falling,unknown,rising),zone(low,extreme))
civil_rights_era_amendments__twenty_third_amendment	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,high))
constitutional_conventions__collective_responsibility	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
constitutional_conventions__ministerial_responsibility	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,high))
constitutional_conventions__royal_assent_convention	six(shift(unknown,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,has_beneficiaries],[unenforced_suppression],actors(distributed,concentrated),drift(falling,unknown,rising),zone(negligible,extreme))
constitutional_conventions__salisbury_convention	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,extreme))
