abrahamic_covenant__isaac_covenant_reading	six(shift(naturalized,tangled_rope,rope,snare),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,stable),zone(extreme,extreme))
basic_law_interpretive_authority__judicial_supremacy_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
basic_law_interpretive_authority__parliamentary_sovereignty_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,high))
basic_law_interpretive_authority__popular_constitutionalism_reading	six(shift(tangled_rope,tangled_rope,rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,high))
basic_law_interpretive_boundary__balanced_contestation_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,high))
basic_law_interpretive_boundary__judicial_supremacy_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,unknown,rising),zone(extreme,extreme))
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	six(shift(rope,rope,rope,rope),[coordination,has_beneficiaries],[],actors(distributed,none),drift(rising,unknown,rising),zone(negligible,low))
beehiiv_platform_model	six(shift(tangled_rope,tangled_rope,rope,snare),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
beta_designation_doctrine__expansive_shield_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
beta_designation_doctrine__narrow_warning_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries,sunset],[],actors(distributed,concentrated),drift(rising,rising,rising),zone(low,high))
beta_designation_doctrine__severity_carve_out_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,high))
biblical_authority__conciliar_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,high))
biblical_authority__sola_scriptura_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,high))
biblical_authority__tradition_scripture_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(concentrated,distributed),drift(falling,falling,rising),zone(extreme,extreme))
biblical_divine_nature__modalist_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,high))
biblical_divine_nature__trinitarian_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,falling,rising),zone(extreme,extreme))
biblical_divine_nature__unitarian_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(falling,falling,rising),zone(low,extreme))
biblical_source_text__critical_reconstructive_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
biblical_source_text__dynamic_equivalence_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,high))
biblical_source_text__formal_equivalence_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,high))
big_data_astrophysics_arbitrage	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,stable,stable),zone(extreme,extreme))
bilateral_science_innovation_partnership	six(shift(tangled_rope,tangled_rope,naturalized,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,high))
bitcoin_consensus_kernel__maximalist_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
bitcoin_consensus_kernel__pragmatic_synthesis	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries,sunset],[],actors(distributed,distributed),drift(rising,unknown,rising),zone(low,moderate))
bitcoin_consensus_kernel__utility_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,high))
bitcoin_whitepaper__digital_gold_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
bitcoin_whitepaper__p2p_cash_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
